T02,"Population, density and surface area",,,,,
748,Eswatini,2017,Population aged 0 to 14 years old (percentage),38.3444,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
748,Eswatini,2017,Population aged 60+ years old (percentage),5.7431,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
748,Eswatini,2017,Population density,65.3956,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
748,Eswatini,2017,Surface area (thousand km2),17.3630,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
748,Eswatini,2019,Population mid-year estimates (millions),1.1481,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
748,Eswatini,2019,Population mid-year estimates for males (millions),0.5628,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
748,Eswatini,2019,Population mid-year estimates for females (millions),0.5853,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
748,Eswatini,2019,Sex ratio (males per 100 females),96.1470,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
748,Eswatini,2019,Population aged 0 to 14 years old (percentage),37.8314,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
748,Eswatini,2019,Population aged 60+ years old (percentage),5.7235,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
748,Eswatini,2019,Population density,66.7517,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2005,Population mid-year estimates (millions),76.3463,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2005,Population mid-year estimates for males (millions),38.0741,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2005,Population mid-year estimates for females (millions),38.2722,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2005,Sex ratio (males per 100 females),99.4823,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2005,Population aged 0 to 14 years old (percentage),46.4907,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2005,Population aged 60+ years old (percentage),4.8749,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2005,Population density,76.3463,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2010,Population mid-year estimates (millions),87.6400,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2010,Population mid-year estimates for males (millions),43.7275,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2010,Population mid-year estimates for females (millions),43.9125,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2010,Sex ratio (males per 100 females),99.5787,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2010,Population aged 0 to 14 years old (percentage),44.9318,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2010,Population aged 60+ years old (percentage),5.1139,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2010,Population density,87.6400,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2017,Population mid-year estimates (millions),106.3999,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2017,Population mid-year estimates for males (millions),53.2147,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2017,Population mid-year estimates for females (millions),53.1852,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2017,Sex ratio (males per 100 females),100.0555,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2017,Population aged 0 to 14 years old (percentage),41.2508,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2017,Population aged 60+ years old (percentage),5.2356,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2017,Population density,106.3999,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2017,Surface area (thousand km2),1104.3000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
231,Ethiopia,2019,Population mid-year estimates (millions),112.0787,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2019,Population mid-year estimates for males (millions),56.0690,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2019,Population mid-year estimates for females (millions),56.0097,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
231,Ethiopia,2019,Sex ratio (males per 100 females),100.1059,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2019,Population aged 0 to 14 years old (percentage),40.3364,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2019,Population aged 60+ years old (percentage),5.2979,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
231,Ethiopia,2019,Population density,112.0787,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2001,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2001,Sex ratio (males per 100 females),121.5209,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2001,Population aged 0 to 14 years old (percentage),15.0360,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2001,Population aged 60+ years old (percentage),12.0494,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2001,Population density,0.2403,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2005,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2005,Population density,0.2415,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2006,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2006,Sex ratio (males per 100 females),113.2035,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2006,Population aged 0 to 14 years old (percentage),15.9391,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2006,Population aged 60+ years old (percentage),14.0102,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2006,Population density,0.2400,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2010,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2010,Population density,0.2343,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2012,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2012,Sex ratio (males per 100 females),110.5263,"A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).;Excluding military personnel and their families, visitors and transients.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2012,Population aged 0 to 14 years old (percentage),16.3732,"A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).;Excluding military personnel and their families, visitors and transients.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2012,Population aged 60+ years old (percentage),15.7042,"A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).;Excluding military personnel and their families, visitors and transients.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
238,Falkland Islands (Malvinas),2012,Population density,0.2348,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2017,Population mid-year estimates (millions),0.0029,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).;Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2017,Population density,0.2391,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).;Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2017,Surface area (thousand km2),12.1730,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
238,Falkland Islands (Malvinas),2019,Population mid-year estimates (millions),0.0034,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
238,Falkland Islands (Malvinas),2019,Population density,0.2775,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2005,Population mid-year estimates (millions),0.0483,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2005,Sex ratio (males per 100 females),108.0036,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2005,Population density,34.5881,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2008,Population mid-year estimates (millions),0.0485,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2008,Sex ratio (males per 100 females),108.0602,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2008,Population aged 0 to 14 years old (percentage),22.0266,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2008,Population aged 60+ years old (percentage),19.2709,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2008,Population density,34.7314,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2010,Population mid-year estimates (millions),0.0486,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2010,Sex ratio (males per 100 females),108.0494,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2010,Population density,34.7779,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2015,Population mid-year estimates (millions),0.0490,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2015,Sex ratio (males per 100 females),107.2033,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2015,Population aged 0 to 14 years old (percentage),20.9629,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2015,Population aged 60+ years old (percentage),22.5111,De jure population.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
234,Faroe Islands,2015,Population density,35.0752,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2015,Surface area (thousand km2),1.3930,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
234,Faroe Islands,2017,Population mid-year estimates (millions),0.0493,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2017,Population density,35.3080,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2017,Surface area (thousand km2),1.3930,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
234,Faroe Islands,2019,Population mid-year estimates (millions),0.0487,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
234,Faroe Islands,2019,Population density,34.8696,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2005,Population mid-year estimates (millions),0.8216,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2005,Population mid-year estimates for males (millions),0.4190,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2005,Population mid-year estimates for females (millions),0.4026,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2005,Sex ratio (males per 100 females),104.0760,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2005,Population aged 0 to 14 years old (percentage),30.5343,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2005,Population aged 60+ years old (percentage),6.8725,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2005,Population density,44.9701,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2010,Population mid-year estimates (millions),0.8598,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2010,Population mid-year estimates for males (millions),0.4389,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2010,Population mid-year estimates for females (millions),0.4209,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2010,Sex ratio (males per 100 females),104.2935,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2010,Population aged 0 to 14 years old (percentage),29.0004,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2010,Population aged 60+ years old (percentage),7.8973,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2010,Population density,47.0617,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2017,Population mid-year estimates (millions),0.8775,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2017,Population mid-year estimates for males (millions),0.4452,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2017,Population mid-year estimates for females (millions),0.4323,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2017,Sex ratio (males per 100 females),102.9701,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2017,Population aged 0 to 14 years old (percentage),29.6513,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2017,Population aged 60+ years old (percentage),8.6967,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2017,Population density,48.0273,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2017,Surface area (thousand km2),18.2720,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
242,Fiji,2019,Population mid-year estimates (millions),0.8900,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2019,Population mid-year estimates for males (millions),0.4510,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2019,Population mid-year estimates for females (millions),0.4390,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
242,Fiji,2019,Sex ratio (males per 100 females),102.7251,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2019,Population aged 0 to 14 years old (percentage),29.2937,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2019,Population aged 60+ years old (percentage),9.3197,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
242,Fiji,2019,Population density,48.7112,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2005,Population mid-year estimates (millions),5.2589,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2005,Population mid-year estimates for males (millions),2.5740,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2005,Population mid-year estimates for females (millions),2.6849,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2005,Sex ratio (males per 100 females),95.8688,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2005,Population aged 0 to 14 years old (percentage),17.3393,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2005,Population aged 60+ years old (percentage),21.4603,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2005,Population density,17.3054,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2010,Population mid-year estimates (millions),5.3658,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2010,Population mid-year estimates for males (millions),2.6333,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2010,Population mid-year estimates for females (millions),2.7325,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2010,Sex ratio (males per 100 females),96.3724,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
